"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:11501847-11503240","548","11501847","11503240","1393","1549.65308533","0.898910867981"
"SL2.50ch00:11501878-11503235","548","11501878","11503235","1357","1549.65308533","0.87567986206"
"SL2.50ch00:11504335-11505258","297","11504335","11505258","923","1549.65308533","0.595617179574"
"SL2.50ch00:11504344-11505143","297","11504344","11505143","799","1549.65308533","0.515599270292"
"SL2.50ch00:11510011-11512517","341","11510011","11512517","2506","1549.65308533","1.61713613436"
"SL2.50ch00:11510848-11512374","247","11510848","11512374","1526","1549.65308533","0.984736528743"
"SL2.50ch00:11516726-11517650","137","11516726","11517650","924","1549.65308533","0.596262485294"
"SL2.50ch00:11516891-11517652","111","11516891","11517652","761","1549.65308533","0.491077652931"
"SL2.50ch00:11534144-11548092","4526","11534144","11548092","13948","1549.65308533","9.00072418277"
"SL2.50ch00:11535447-11545025","3563","11535447","11545025","9578","1549.65308533","6.1807381863"
"SL2.50ch00:11545532-11547869","589","11545532","11547869","2337","1549.65308533","1.50807946768"
"SL2.50ch00:11565406-11566479","127","11565406","11566479","1073","1549.65308533","0.692413037576"
"SL2.50ch00:11569964-11571143","127","11569964","11571143","1179","1549.65308533","0.760815443898"
"SL2.50ch00:11573020-11573805","81","11573020","11573805","785","1549.65308533","0.506564990212"
"SL2.50ch00:11576933-11591013","2798","11576933","11591013","14080","1549.65308533","9.08590453781"
"SL2.50ch00:11577037-11582965","1509","11577037","11582965","5928","1549.65308533","3.82537230825"
"SL2.50ch00:11587988-11588972","134","11587988","11588972","984","1549.65308533","0.634980828495"
"SL2.50ch00:11650873-11651237","127","11650873","11651237","364","1549.65308533","0.234891282085"
"SL2.50ch00:11655357-11656971","1211","11655357","11656971","1614","1549.65308533","1.0415234321"
"SL2.50ch00:11655359-11656929","1211","11655359","11656929","1570","1549.65308533","1.01312998042"
"SL2.50ch00:11658380-11659404","384","11658380","11659404","1024","1549.65308533","0.660793057295"
"SL2.50ch00:11658447-11659399","382","11658447","11659399","952","1549.65308533","0.614331045454"
